County_Name,suicide_rate
Sandoval,18
San Juan,29
San Miguel,29
Santa Fe,24
Sierra,38
Socorro,29
Taos,34
Torrance,30
Union,
Valencia,22
Albany,9
Allegany,15
Bronx,5
Broome,11
Cattaraugus,16
Cayuga,10
Chautauqua,13
Chemung,12
Chenango,12
Clinton,11
Columbia,15
Cortland,12
Delaware,16
Dutchess,11
Erie,11
Essex,11
Franklin,10
Fulton,14
Genesee,10
Greene,16
Hamilton,
Herkimer,13
Jefferson,11
Kings,5
Lewis,20
Livingston,10
Madison,11
Monroe,9
Montgomery,10
Nassau,6
New York,7
Niagara,14
Oneida,9
Onondaga,10
Ontario,12
Orange,8
Orleans,8
Oswego,14
Otsego,13
Putnam,7
Queens,5
Rensselaer,12
Richmond,6
Rockland,6
St. Lawrence,9
Saratoga,11
Schenectady,10
Schoharie,15
Schuyler,20
Seneca,14
Steuben,13
Suffolk,8
Sullivan,13
Tioga,12
Tompkins,10
Ulster,12
Warren,10
Washington,11
Wayne,10
Westchester,6
Wyoming,14
Yates,11
Alamance,13
Alexander,19
Alleghany,27
Anson,14
Ashe,16
Avery,15
Beaufort,21
Bertie,11
Bladen,12
Brunswick,13
Buncombe,17
Burke,18
Cabarrus,12
Caldwell,17
Camden,33
Carteret,21
Caswell,7
Catawba,17
Chatham,12
Cherokee,19
Chowan,13
Clay,
Cleveland,17
Columbus,11
Craven,14
Cumberland,15
Currituck,19
Dare,19
Davidson,16
Davie,17
Duplin,8
Durham,8
Edgecombe,10
Forsyth,11
Franklin,13
Gaston,16
Gates,
Graham,29
Granville,14
Greene,10
Guilford,11
Halifax,12
Harnett,13
Haywood,18
Henderson,18
Hertford,11
Hoke,13
Hyde,
Iredell,15
Jackson,16
Johnston,12
Jones,
Lee,13
Lenoir,10
Lincoln,11
McDowell,16
Macon,18
Madison,13
Martin,13
Mecklenburg,10
Mitchell,26
Montgomery,11
Moore,16
Nash,13
New Hanover,14
Northampton,12
Onslow,20
Orange,9
Pamlico,24
Pasquotank,16
Pender,21
Perquimans,13
Person,16
Pitt,11
Polk,29
Randolph,18
Richmond,12
Robeson,13
Rockingham,15
Rowan,20
Rutherford,21
Sampson,8
Scotland,10
Stanly,16
Stokes,22
Surry,25
Swain,14
Transylvania,25
Tyrrell,
Union,10
Vance,11
Wake,9
Warren,11
Washington,
Watauga,15
Wayne,10
Wilkes,19
Wilson,9
Yadkin,17
Yancey,19
Adams,
Barnes,
Benson,
Billings,
Bottineau,
Bowman,
Burke,
Burleigh,17
Cass,16
Cavalier,
Dickey,
Divide,
Dunn,
Eddy,
Emmons,
Foster,
Golden Valley,
Grand Forks,16
Grant,
Griggs,
Hettinger,
Kidder,
LaMoure,
Logan,
McHenry,
McIntosh,
McKenzie,26
McLean,
Mercer,35
Morton,16
Mountrail,19
Nelson,
Oliver,
Pembina,
Pierce,
Ramsey,17
Ransom,
Renville,
Richland,14
Rolette,31
Sargent,
