County_Name,mental_health_provider
Washington,2540
Adams,382
Alexander,233
Bond,640
Boone,2435
Brown,312
Bureau,1500
Calhoun,0
Carroll,795
Cass,183
Champaign,398
Christian,1719
Clark,3899
Clay,828
Clinton,2214
Coles,305
Cook,369
Crawford,495
Cumberland,2702
DeKalb,412
De Witt,2253
Douglas,6493
DuPage,335
Edgar,914
Edwards,2131
Effingham,570
Fayette,1260
Ford,201
Franklin,152
Fulton,1834
Gallatin,0
Greene,0
Grundy,809
Hamilton,4082
Hancock,661
Hardin,3910
Henderson,3355
Henry,2134
Iroquois,378
Jackson,399
Jasper,267
Jefferson,450
Jersey,1456
Jo Daviess,1257
Johnson,150
Kane,399
Kankakee,696
Kendall,1040
Knox,569
Lake,354
LaSalle,1083
Lawrence,426
Lee,225
Livingston,795
Logan,1315
McDonough,491
McHenry,518
McLean,389
Macon,680
Macoupin,1888
Madison,636
Marion,342
Marshall,0
Mason,3391
Massac,327
Menard,2458
Mercer,7801
Monroe,763
Montgomery,1362
Morgan,971
Moultrie,818
Ogle,717
Peoria,421
Perry,543
Piatt,1640
Pike,1201
Pope,4212
Pulaski,2732
Putnam,0
Randolph,1003
Richland,225
Rock Island,516
St. Clair,831
Saline,569
Sangamon,436
Schuyler,1381
Scott,0
Shelby,3624
Stark,0
Stephenson,492
Tazewell,551
Union,732
Vermilion,340
Wabash,350
Warren,5677
Washington,1000
Wayne,961
White,911
Whiteside,762
Will,884
Williamson,486
Winnebago,524
Woodford,3497
Adams,2545
Allen,546
Bartholomew,667
Benton,4327
Blackford,3977
Boone,985
Brown,1693
Carroll,1438
Cass,426
Clark,460
Clay,2181
Clinton,2481
Crawford,2640
Daviess,1275
Dearborn,799
Decatur,2977
DeKalb,1601
Delaware,356
Dubois,869
Elkhart,732
Fayette,1356
Floyd,694
Fountain,1486
Franklin,3248
Fulton,1116
Gibson,4182
Grant,425
Greene,1524
Hamilton,689
Hancock,1468
Harrison,4035
Hendricks,1025
Henry,1207
Howard,535
Huntington,1250
Jackson,1225
Jasper,2225
Jay,1038
Jefferson,1007
Jennings,1104
Johnson,1149
Knox,615
Kosciusko,606
LaGrange,2314
Lake,567
LaPorte,1134
Lawrence,1522
Madison,776
Marion,350
Marshall,984
Martin,5109
Miami,1778
Monroe,398
Montgomery,959
Morgan,1669
Newton,14011
Noble,1080
Ohio,0
Orange,1949
Owen,1097
Parke,1881
Perry,1364
Pike,2482
Porter,585
Posey,8513
Pulaski,1781
Putnam,1303
Randolph,2761
Ripley,1902
Rush,1041
St. Joseph,436
Scott,2171
Shelby,1037
Spencer,4065
Starke,3276
Steuben,1330
Sullivan,3448
Switzerland,3572
Tippecanoe,705
Tipton,1891
Union,0
Vanderburgh,475
Vermillion,1720
Vigo,635
Wabash,417
Warren,0
Warrick,1955
Washington,2794
Wayne,211
Wells,2015
White,2413
Whitley,1217
Adair,0
Adams,3645
Allamakee,4611
Appanoose,888
Audubon,0
Benton,5128
Black Hawk,605
Boone,1387
