County_Name,County_GDP_PCT_Change_in_2018
Johnson,2.8
Jones,-6.3
Lamar,2.9
Lanier,-1.2
Laurens,-0.5
Lee,0.9
Liberty,0.2
Lincoln,0.8
Long,3.7
Lowndes,2.4
Lumpkin,3.2
McDuffie,2.2
McIntosh,2
Macon,0.1
Madison,5.1
Marion,-0.1
Meriwether,3.5
Miller,1.2
Mitchell,0.2
Monroe,6.4
Montgomery,2.6
Morgan,3.6
Murray,-3.3
Muscogee,1.6
Newton,-0.3
Oconee,4.4
Oglethorpe,2.5
Paulding,3.5
Peach,3.9
Pickens,3.5
Pierce,2.9
Pike,2.7
Polk,3.9
Pulaski,4.1
Putnam,0.9
Quitman,5.5
Rabun,2.6
Randolph,0.4
Richmond,1.1
Rockdale,1.3
Schley,3
Screven,5.1
Seminole,-1.1
Spalding,1.6
Stephens,1.1
Stewart,6.9
Sumter,0.9
Talbot,12.9
Taliaferro,5.8
Tattnall,0.3
Taylor,-2.5
Telfair,2.2
Terrell,1.1
Thomas,1.4
Tift,3
Toombs,1.6
Towns,4.9
Treutlen,2
Troup,0.5
Turner,0.3
Twiggs,17.4
Union,3.3
Upson,2.6
Walker,2.3
Walton,2.8
Ware,0.6
Warren,13.9
Washington,1.3
Wayne,2.1
Webster,3.5
Wheeler,2.8
White,2.9
Whitfield,1.4
Wilcox,-1
Wilkes,0.2
Wilkinson,4.9
Worth,2.4
Hawaii,3.3
Honolulu,2
Kalawao,
Kauai,6.1
Maui,3
Ada,4.9
Adams,6.3
Bannock,1.7
Bear Lake,1.7
Benewah,1.3
Bingham,3.5
Blaine,2.5
Boise,31.2
Bonner,3.9
Bonneville,4.2
Boundary,1.4
Butte,1.9
Camas,0.3
Canyon,3.8
Caribou,1.2
Cassia,10.4
Clark,-2.6
Clearwater,1.8
Custer,11
Elmore,2.4
Franklin,-0.4
Fremont,2.5
Gem,3
Gooding,-6.4
Idaho,11.2
Jefferson,2.5
Jerome,7.5
Kootenai,4.3
Latah,3.5
Lemhi,4.4
Lewis,14.3
Lincoln,9.5
Madison,2.4
Minidoka,6.8
Nez Perce,1.4
Oneida,8.2
Owyhee,1
Payette,-6.4
Power,12.6
Shoshone,3.3
Teton,11.1
Twin Falls,2.8
Valley,0.9
Washington,-2.6
Adams,4.6
Alexander,2.6
Bond,9
Boone,14.2
Brown,0
Bureau,0.3
Calhoun,8.3
Carroll,-12.6
Cass,2.6
Champaign,3.5
Christian,0.1
Clark,9.1
Clay,0.3
Clinton,3.2
Coles,1.9
Cook,2.1
Crawford,3.8
Cumberland,3.7
DeKalb,2.6
De Witt,2.3
Douglas,5.4
DuPage,1
Edgar,1.6
Edwards,-2.9
Effingham,4.1
Fayette,4.8
Ford,5
Franklin,10.5
Fulton,4.5
Gallatin,-6.6
Greene,8.3
Grundy,-1.1
Hamilton,1.3
Hancock,6.5
Hardin,-0.4
Henderson,-10
Henry,-4.3
Iroquois,-1.9
Jackson,5.4
Jasper,4.7
Jefferson,0.9
Jersey,1.8
Jo Daviess,0.8
Johnson,0.6
Kane,1.8
Kankakee,0.1
Kendall,1.1
Knox,-0.7
Lake,2.4
LaSalle,0.7
Lawrence,-1
Lee,4.3
Livingston,-0.6
Logan,5.2
McDonough,0
McHenry,0.7
McLean,-0.2
Macon,4.6
Macoupin,6.1
Madison,4.6
Marion,6.6
Marshall,-3.2
Mason,-0.3
Massac,0.8
Menard,15.3
Mercer,-4
Monroe,4.6
Montgomery,4
Morgan,5.9
Moultrie,11.1
Ogle,0.8
Peoria,7.6
Perry,9.2
Piatt,11.9
Pike,1.7
Pope,-3.2
Pulaski,-8.7
Putnam,-2.9
Randolph,3.3
Richland,4
Rock Island,0.9
St. Clair,0.6
Saline,-4.5
Sangamon,4.4
Schuyler,-0.2
Scott,14.2
Shelby,14.9
Stark,-9.7
Stephenson,1.4
Tazewell,0.3
Union,-1.4
Vermilion,2.8
Wabash,0.7
Warren,4.6
Washington,12.8
Wayne,7.2
White,-4.1
Whiteside,0.6
Will,1.9
Williamson,3.5
Winnebago,2.5
Woodford,-0.1
Adams,4.9
Allen,3.2
Bartholomew,4.9
Benton,3.8
Blackford,-1.6
Boone,4.3
Brown,2.2
Carroll,6.9
Cass,3.1
Clark,0.6
Clay,3.7
Clinton,7
Crawford,0
Daviess,3.9
Dearborn,-2.4
Decatur,4.2
DeKalb,2
Delaware,1.2
Dubois,1.7
Elkhart,0.5
Fayette,4.8
Floyd,2.8
Fountain,7.2
Franklin,1.8
Fulton,-2.5
Gibson,-4.8
Grant,11.7
Greene,9.7
Hamilton,1.5
Hancock,3.5
Harrison,1.2
Hendricks,4.6
Henry,6.9
Howard,-0.3
Huntington,1.3
Jackson,-0.1
Jasper,-5.1
Jay,8.3
Jefferson,-0.9
Jennings,2.5
Johnson,4.9
Knox,-2.6
Kosciusko,3.8
LaGrange,1.7
Lake,1
LaPorte,2.4
Lawrence,3.9
Madison,4.1
Marion,1.6
Marshall,-0.2
Martin,4.2
Miami,0.2
Monroe,2
Montgomery,0.1
Morgan,7.1
Newton,4
Noble,2.8
Ohio,-4.6
Orange,0.8
Owen,1.7
Parke,-3.3
Perry,-0.1
Pike,-15.3
Porter,1.2
Posey,-3.6
Pulaski,-4
Putnam,1.1
Randolph,2.3
Ripley,-2.8
Rush,3.1
St. Joseph,3.8
Scott,3.9
Shelby,1.1
Spencer,-5.9
Starke,-0.8
Steuben,3.4
Sullivan,-3.1
Switzerland,0.2
Tippecanoe,4.9
Tipton,15
Union,4.4
Vanderburgh,1.1
Vermillion,2.1
Vigo,-0.6
Wabash,3.6
Warren,14.7
Warrick,2.6
Washington,7.3
Wayne,3
Wells,6.3
White,4.2
Whitley,1.9
Adair,1.6
Adams,5.7
Allamakee,-0.6
Appanoose,-3
Audubon,-0.1
Benton,8.8
Black Hawk,3.2
Boone,9.3
Bremer,-1.3
Buchanan,-1.7
Buena Vista,4.3
Butler,-6.7
Calhoun,15.6
Carroll,0.8
Cass,1.3
Cedar,8.2
Cerro Gordo,2.9
Cherokee,2.9
Chickasaw,3.9
Clarke,4.3
Clay,4.6
Clayton,-1
Clinton,0.5
Crawford,3.8
Dallas,1.8
Davis,0.1
Decatur,3.4
Delaware,3
Des Moines,1.4
Dickinson,-2.8
Dubuque,1.4
Emmet,-13.1
Fayette,-4.4
Floyd,-2
Franklin,-3.3
Fremont,-4.6
Greene,3.8
Grundy,-8.8
Guthrie,7
Hamilton,18.7
Hancock,0.4
Hardin,-0.3
Harrison,1.1
Henry,6.3
Howard,6.5
Humboldt,0.1
Ida,0
Iowa,4.1
Jackson,6.1
Jasper,8.4
Jefferson,11.6
Johnson,1.3
Jones,1.5
Keokuk,13.1
Kossuth,-1.1
Lee,1.9
Linn,2.5
Louisa,13.3
Lucas,7.2
Lyon,-10.7
Madison,6.2
Mahaska,11.3
Marion,4.4
Marshall,7.7
Mills,2.5
Mitchell,8
Monona,-9.6
Monroe,9.1
Montgomery,-0.6
Muscatine,1.5
O'Brien,-4.1
Osceola,-2.5
Page,6
Palo Alto,-4.8
Plymouth,-0.7
Pocahontas,7.4
Polk,1.5
Pottawattamie,4.3
Poweshiek,3.3
Ringgold,-1.9
Sac,13.6
Scott,2.5
Shelby,0.3
Sioux,-0.3
Story,1.5
Tama,8.3
Taylor,0.7
Union,2.7
Van Buren,8.5
Wapello,1.9
Warren,2.5
Washington,6.2
Wayne,4.6
Webster,1.1
Winnebago,-1.2
Winneshiek,3.6
Woodbury,3.3
Worth,5.3
Wright,5.4
Allen,1.5
Anderson,6
Atchison,2
Barber,-5.7
Barton,2.8
Bourbon,0.9
Brown,3.9
Butler,3.1
Chase,0.2
Chautauqua,1
Cherokee,8.9
Cheyenne,22.3
Clark,8.1
Clay,-4.6
Cloud,-7.5
Coffey,-4.1
Comanche,5.3
Cowley,0.2
Crawford,1.1
Decatur,5.5
Dickinson,-2.8
Doniphan,6.6
Douglas,1.2
Edwards,18.4
Elk,-0.2
Ellis,2
Ellsworth,-0.3
Finney,3.6
Ford,4.2
Franklin,-0.8
Geary,-1.7
Gove,-0.3
Graham,3
Grant,-15.6
Gray,-6.5
Greeley,36.3
Greenwood,0.9
Hamilton,19.3
Harper,0.8
Harvey,2.7
Haskell,-12.1
Hodgeman,22.7
Jackson,1.2
Jefferson,0.1
Jewell,11.1
Johnson,1.7
Kearny,2.1
Kingman,1.9
Kiowa,9.3
Labette,2.4
Lane,9.4
Leavenworth,1.4
Lincoln,-2.7
Linn,7.5
Logan,9.3
Lyon,4.4
McPherson,5.7
Marion,1
Marshall,-1.3
Meade,4.5
Miami,2.6
Mitchell,-4.5
Montgomery,5.6
Morris,-14.4
Morton,-7
Nemaha,-1.3
Neosho,2.5
Ness,10.5
Norton,0.5
Osage,1.6
Osborne,0.7
Ottawa,3.8
Pawnee,-5
Phillips,-2
Pottawatomie,-1.3
Pratt,1.8
Rawlins,10.4
Reno,0.9
Republic,-0.4
Rice,10.8
Riley,0.6
Rooks,1.9
Rush,14.3
Russell,0.5
Saline,0.8
Scott,-10.8
Sedgwick,3.6
Seward,5.4
Shawnee,2.3
Sheridan,4.2
Sherman,20.4
Smith,5.5
Stafford,14.1
Stanton,30.9
Stevens,5.4
Sumner,-5.1
Thomas,-0.1
Trego,20
Wabaunsee,2.5
Wallace,15
Washington,-0.4
Wichita,12.4
Wilson,1.8
Woodson,-0.3
Wyandotte,0.9
Adair,2.4
Allen,3.8
Anderson,2.6
Ballard,-5.5
Barren,0.4
Bath,1.9
Bell,-0.6
Boone,3.5
Bourbon,1.9
Boyd,6.6
Boyle,2
Bracken,-1.5
Breathitt,-0.8
Breckinridge,-0.4
Bullitt,3
Butler,-2.3
Caldwell,6
Calloway,0.4
Campbell,1.5
Carlisle,0
Carroll,0.7
Carter,1.1
Casey,1.5
Christian,-1.1
Clark,2.3
Clay,-0.9
Clinton,3.2
Crittenden,-0.1
Cumberland,7
Daviess,1.7
Edmonson,0.5
Elliott,-1.2
Estill,-1.3
Fayette,0.9
Fleming,2.2
Floyd,-2
Franklin,2.8
Fulton,-3.3
Gallatin,-0.4
Garrard,2.5
Grant,-0.2
Graves,-1.1
Grayson,-0.9
Green,-3
Greenup,2.8
Hancock,-1.1
Hardin,0.8
Harlan,-0.1
Harrison,1.7
Hart,1.5
Henderson,-0.5
Henry,2
Hickman,2.4
Hopkins,-4
Jackson,1
Jefferson,1.7
Jessamine,1.4
Johnson,-1.2
Kenton,5.1
Knott,0.2
Knox,-1.2
Larue,-0.3
Laurel,1.6
Lawrence,4.2
Lee,6.1
Leslie,-0.3
Letcher,4.4
Lewis,0.2
Lincoln,-0.3
Livingston,-5.2
Logan,-1.3
Lyon,-3.3
McCracken,1.6
McCreary,0
McLean,4
Madison,2
Magoffin,3.6
Marion,3.7
Marshall,0.6
Martin,-6.1
Mason,4
Meade,1.2
Menifee,1.5
Mercer,2.7
Metcalfe,0.5
Monroe,1.2
Montgomery,0.4
Morgan,0
Muhlenberg,2.5
Nelson,3.7
Nicholas,0.5
Ohio,0.7
Oldham,1.5
Owen,-5.2
Owsley,1.2
Pendleton,-1.6
Perry,-2
Pike,-1.2
Powell,0.3
Pulaski,2.4
Robertson,0.8
Rockcastle,1.5
Rowan,1.1
Russell,4.6
Scott,1.1
Shelby,1.5
Simpson,-0.7
Spencer,-0.8
Taylor,-3.5
Todd,6.1
Trigg,-1.9
Trimble,-0.3
Union,-4.3
Warren,1.6
Washington,0.5
Wayne,1
Webster,0.8
Whitley,-0.1
Wolfe,0
Woodford,0.8
Acadia,0.6
Allen,0.2
Ascension,3.5
Assumption,3.5
Avoyelles,-0.8
Beauregard,2.2
Bienville,5.5
Bossier,3.9
Caddo,1.6
Calcasieu,3.8
Caldwell,1.1
Cameron,-3.4
Catahoula,-11.4
Claiborne,0
Concordia,3.8
De Soto,2
East Baton Rouge,5.5
East Carroll,-8.4
East Feliciana,4.1
Evangeline,0
Franklin,14.9
Grant,-0.1
Iberia,0.4
Iberville,-0.5
Jackson,-1.1
Jefferson,1.9
Jefferson Davis,-0.3
Lafayette,2.8
Lafourche,4.1
La Salle,3.4
Lincoln,-1.6
Livingston,2.2
Madison,1.5
Morehouse,-4.1
Natchitoches,1.1
Orleans,2.5
Ouachita,1.3
Plaquemines,4.1
Pointe Coupee,-7.1
Rapides,1.2
Red River,16.2
Richland,0.2
Sabine,11.1
St. Bernard,-0.6
St. Charles,4.6
St. Helena,2.7
St. James,3.8
St. John the Baptist,-7.6
St. Landry,2.1
St. Martin,1.3
St. Mary,2.9
St. Tammany,1.8
Tangipahoa,0.8
Tensas,-7.5
Terrebonne,2.9
Union,6.1
Vermilion,0.2
Vernon,-0.1
Washington,0.6
Webster,4.3
West Baton Rouge,1.2
West Carroll,6.6
West Feliciana,-0.9
Winn,-0.1
Androscoggin,2.9
Aroostook,1.3
Cumberland,2.4
Franklin,2.6
Hancock,3.5
Kennebec,1.1
Knox,1.4
Lincoln,3.5
Oxford,1.1
Penobscot,2.8
Piscataquis,4
Sagadahoc,-0.1
Somerset,-1.1
Waldo,0.7
Washington,-1.7
York,3.9
Allegany,-0.9
Anne Arundel,3.2
Baltimore,2.8
Calvert,-12.3
Caroline,0.7
Carroll,0.6
Cecil,11.3
Charles,-1.4
Dorchester,0.7
Frederick,2.4
Garrett,0.9
Harford,2
Howard,3.5
Kent,1.8
Montgomery,2.8
Prince George's,3
Queen Anne's,3
St. Mary's,3.3
Somerset,1.1
Talbot,2.2
Washington,2.6
Wicomico,1.4
Worcester,1.7
Baltimore City,1.8
Barnstable,2.2
Berkshire,1.5
Bristol,1.1
Dukes,3
Essex,2.4
Franklin,2.1
Hampden,1.5
Hampshire,1.3
Middlesex,4.3
Nantucket,4
Norfolk,2.4
Plymouth,2.2
Suffolk,3.6
Worcester,2.4
Alcona,2.5
Alger,3.7
Allegan,10
Alpena,1.1
Antrim,4.4
Arenac,2.8
Baraga,1.4
Barry,-0.3
Bay,0.4
Benzie,3.4
Berrien,0.7
Branch,4.3
Calhoun,2.8
Cass,1.9
Charlevoix,1.7
Cheboygan,3.8
Chippewa,2.3
Clare,5.4
Clinton,0.6
Crawford,5.4
Delta,3
Dickinson,3
Eaton,2
Emmet,2.3
Genesee,2.2
Gladwin,4.1
Gogebic,3.1
Grand Traverse,1.4
Gratiot,6.5
Hillsdale,1.1
Houghton,2.5
Huron,2
Ingham,2.2
Ionia,8.5
Iosco,4.8
Iron,2.5
Isabella,1.6
Jackson,2.5
Kalamazoo,3.7
Kalkaska,5.6
Kent,3.2
Keweenaw,2.3
Lake,2
Lapeer,2.7
Leelanau,2.8
Lenawee,5.1
Livingston,2.6
Luce,0.3
Mackinac,1.2
Macomb,2.7
Manistee,1.9
Marquette,0.1
Mason,3.9
Mecosta,-1.8
Menominee,1.9
Midland,0.7
Missaukee,-3.5
Monroe,0.8
Montcalm,3.1
Montmorency,3.8
Muskegon,1.4
Newaygo,4
Oakland,2.4
Oceana,4.5
Ogemaw,3.8
Ontonagon,0.3
Osceola,4.6
Oscoda,3.1
Otsego,3.9
Ottawa,4.1
Presque Isle,0.5
Roscommon,3.3
Saginaw,2.2
St. Clair,3.4
St. Joseph,-1.3
Sanilac,0.8
Schoolcraft,0.4
Shiawassee,1.8
Tuscola,0.7
Van Buren,-0.5
Washtenaw,3
Wayne,2
Wexford,2.7
Aitkin,3.5
Anoka,3.1
Becker,1.3
Beltrami,3
Benton,-1
Big Stone,11.6
Blue Earth,-0.8
Brown,4.3
Carlton,-0.8
Carver,1.1
Cass,4.1
Chippewa,4
Chisago,2.2
Clay,3.2
Clearwater,1.9
Cook,1.8
Cottonwood,8.2
Crow Wing,2.5
Dakota,4
Dodge,12.1
Douglas,3.9
Faribault,-2.7
Fillmore,-2.8
Freeborn,2.6
Goodhue,2.7
Grant,16.4
Hennepin,2.7
Houston,0.4
Hubbard,4
Isanti,3.9
Itasca,4.7
Jackson,0.9
Kanabec,-6.3
Kandiyohi,1.7
Kittson,12.7
Koochiching,3.3
Lac qui Parle,29.1
Lake,7.1
Lake of the Woods,4.4
Le Sueur,-3.4
Lincoln,23.7
Lyon,2.8
McLeod,-6.7
Mahnomen,-2.5
Marshall,0.2
Martin,-11.3
Meeker,2.3
Mille Lacs,1.1
Morrison,1.7
Mower,6.1
Murray,3
Nicollet,-1.8
Nobles,1.2
Norman,22.3
Olmsted,5.4
Otter Tail,1.8
Pennington,5.2
Pine,-5.8
Pipestone,0.5
Polk,8.2
Pope,6.1
Ramsey,1.4
Red Lake,4.4
Redwood,8.5
Renville,-7.7
Rice,4
Rock,0.4
Roseau,5.6
St. Louis,5.7
Scott,2.5
Sherburne,3.4
Sibley,-18.3
Stearns,0.8
Steele,4.5
Stevens,7.2
Swift,5.4
Todd,-0.4
Traverse,47.8
Wabasha,-0.2
Wadena,-0.1
Waseca,-0.2
Washington,2.6
Watonwan,-3.2
Wilkin,11.2
Winona,1.2
Wright,1.8
Yellow Medicine,6.3
Adams,-6.3
Alcorn,3.4
Amite,1.1
Attala,-1.5
Benton,2.5
Bolivar,2.1
Calhoun,-2.5
Carroll,1
Chickasaw,0.4
Choctaw,7.7
Claiborne,-2.5
Clarke,6.3
Clay,1.3
Coahoma,-1
Copiah,-3.9
Covington,1
DeSoto,2.5
Forrest,1.4
Franklin,1.2
George,2.1
Greene,1
Grenada,1.3
Hancock,3
Harrison,1
Hinds,0.8
Holmes,0.7
Humphreys,3
Issaquena,2.9
Itawamba,-0.2
Jackson,2.5
Jasper,12.9
Jefferson,9.3
Jefferson Davis,-0.4
Jones,-5.9
Kemper,-8.3
Lafayette,0.8
Lamar,4.3
Lauderdale,0.2
Lawrence,1.7
Leake,4.3
Lee,0.9
Leflore,0.1
Lincoln,1.3
Lowndes,-0.9
Madison,1.7
Marion,0.4
Marshall,6.8
Monroe,1.5
Montgomery,-1.4
Neshoba,-0.8
Newton,0.6
Noxubee,-0.8
Oktibbeha,2.1
Panola,0.5
Pearl River,4.5
Perry,0.2
Pike,1.2
Pontotoc,1.8
Prentiss,1.6
Quitman,0.9
Rankin,3
Scott,3.6
Sharkey,0.8
Simpson,1.1
Smith,2
Stone,1.3
Sunflower,3.1
Tallahatchie,-0.8
Tate,3.8
Tippah,2.2
Tishomingo,3
Tunica,-2.3
Union,1.5
Walthall,-1.4
Warren,1.6
Washington,1.2
Wayne,6.5
Webster,4.5
Wilkinson,0.4
Winston,2.9
Yalobusha,-0.5
Yazoo,6.1
Adair,5.3
Andrew,0.6
Atchison,-14.6
Audrain,3.2
Barry,5.4
Barton,-3
Bates,-2.1
Benton,3.3
Bollinger,-0.5
Boone,1.7
Buchanan,0.2
Butler,0.7
Caldwell,15.4
Callaway,9.1
Camden,3.6
Cape Girardeau,2.7
Carroll,-8.6
Carter,2.5
Cass,1.9
Cedar,1.9
Chariton,-13.8
Christian,3.1
Clark,13.5
Clay,1.4
Clinton,-6.1
Cole,1.1
Cooper,1.3
Crawford,4.3
Dade,-3.2
Dallas,2.9
Daviess,-3.8
DeKalb,-3.8
Dent,3.3
Douglas,5.3
Dunklin,6.4
Franklin,1.6
Gasconade,0.7
