County_Name,personal_income_per_capita
Clay,51876
Clayton,50371
Clinton,44244
Crawford,41765
Dallas,66128
Davis,36921
Decatur,35908
Delaware,51998
Des Moines,50515
Dickinson,58592
Dubuque,49085
Emmet,43501
Fayette,44263
Floyd,46560
Franklin,51971
Fremont,45399
Greene,48356
Grundy,53270
Guthrie,52694
Hamilton,53071
Hancock,54791
Hardin,52677
Harrison,44895
Henry,43223
Howard,48232
Humboldt,50201
Ida,52758
Iowa,55204
Jackson,45167
Jasper,43551
Jefferson,42320
Johnson,52672
Jones,43652
Keokuk,44509
Kossuth,52992
Lee,42174
Linn,52743
Louisa,41038
Lucas,42126
Lyon,60892
Madison,49505
Mahaska,43914
Marion,48956
Marshall,43652
Mills,56647
Mitchell,63318
Monona,48118
Monroe,43833
Montgomery,42280
Muscatine,47553
O'Brien,59835
Osceola,57164
Page,41629
Palo Alto,53056
Plymouth,57589
Pocahontas,52699
Polk,53215
Pottawattamie,45604
Poweshiek,46950
Ringgold,45714
Sac,56931
Scott,54323
Shelby,50834
Sioux,56029
Story,41885
Tama,46483
Taylor,41585
Union,40494
Van Buren,41378
Wapello,39002
Warren,50698
Washington,57438
Wayne,43981
Webster,45496
Winnebago,44528
Winneshiek,50175
Woodbury,43988
Worth,42321
Wright,56451
Allen,40218
Anderson,38539
Atchison,37436
Barber,42497
Barton,48036
Bourbon,42697
Brown,43023
Butler,46157
Chase,46385
Chautauqua,40661
Cherokee,39645
Cheyenne,47268
Clark,62654
Clay,42069
Cloud,38144
Coffey,54074
Comanche,45954
Cowley,38707
Crawford,37921
Decatur,46614
Dickinson,40582
Doniphan,37405
Douglas,43642
Edwards,52165
Elk,40899
Ellis,46465
Ellsworth,43316
Finney,43172
Ford,38962
Franklin,42383
Geary,48907
Gove,58539
Graham,49624
Grant,46591
Gray,66429
Greeley,59191
Greenwood,42708
Hamilton,63834
Harper,47024
Harvey,42057
Haskell,52783
Hodgeman,49176
Jackson,41686
Jefferson,44480
Jewell,48428
Johnson,74010
Kearny,56466
Kingman,42572
Kiowa,44262
Labette,42127
Lane,93628
Leavenworth,42851
Lincoln,41574
Linn,37267
Logan,47852
Lyon,38297
McPherson,51016
Marion,41410
Marshall,45766
Meade,64262
Miami,48748
Mitchell,54694
Montgomery,37576
Morris,42424
Morton,43644
Nemaha,54111
Neosho,39485
Ness,57310
Norton,42080
Osage,40102
Osborne,46018
Ottawa,41201
Pawnee,39223
Phillips,51320
Pottawatomie,52564
Pratt,47327
Rawlins,55821
Reno,41111
Republic,44273
Rice,42788
Riley,42566
Rooks,42363
Rush,44302
Russell,44443
Saline,49983
Scott,69254
Sedgwick,53776
Seward,38621
Shawnee,46861
Sheridan,50706
Sherman,45156
Smith,45484
Stafford,44534
Stanton,63897
Stevens,38970
Sumner,40027
Thomas,45671
Trego,50889
Wabaunsee,50534
Wallace,56954
Washington,45181
Wichita,70142
Wilson,43433
Woodson,35561
Wyandotte,33315
Adair,31288
Allen,32643
Anderson,39321
Ballard,37939
Barren,36633
Bath,30496
Bell,29612
Boone,48004
Bourbon,44388
Boyd,39746
Boyle,37780
Bracken,36758
Breathitt,33753
Breckinridge,34461
Bullitt,40935
Butler,34420
Caldwell,35066
Calloway,35722
Campbell,49015
Carlisle,43860
Carroll,36349
Carter,30847
Casey,31205
Christian,37742
Clark,39848
Clay,30566
Clinton,31308
Crittenden,35325
Cumberland,35549
Daviess,41754
Edmonson,32253
Elliott,22481
Estill,31555
Fayette,50180
Fleming,33537
Floyd,36976
Franklin,41760
Fulton,33715
Gallatin,32065
Garrard,34363
Grant,36093
Graves,38130
Grayson,33580
Green,34570
Greenup,40933
Hancock,36929
Hardin,43424
Harlan,30877
Harrison,34889
Hart,32133
Henderson,39891
Henry,37981
Hickman,44912
Hopkins,39236
Jackson,28352
Jefferson,51937
Jessamine,43470
Johnson,32986
Kenton,57982
Knott,30118
Knox,29431
Larue,36525
