County_Name,Numeric_change_in_resident_population
Christian,-349
Clark,-159
Clay,-82
Clinton,-135
Coles,-208
Cook,-21727
Crawford,-163
Cumberland,-38
DeKalb,548
De Witt,-156
Douglas,7
DuPage,-4326
Edgar,-199
Edwards,8
Effingham,-173
Fayette,-32
Ford,-251
Franklin,-226
Fulton,-490
Gallatin,-217
Greene,-96
Grundy,81
Hamilton,-32
Hancock,-120
Hardin,-72
Henderson,-51
Henry,-156
Iroquois,-370
Jackson,-539
Jasper,-14
Jefferson,-24
Jersey,-22
Jo Daviess,-96
Johnson,-6
Kane,-317
Kankakee,-91
Kendall,1273
Knox,-279
Lake,-3052
LaSalle,-490
Lawrence,-135
Lee,-200
Livingston,-66
Logan,-294
McDonough,-302
McHenry,-477
McLean,-893
Macon,-495
Macoupin,-392
Madison,-1060
Marion,-176
Marshall,-45
Mason,-174
Massac,-251
Menard,-93
Mercer,-114
Monroe,264
Montgomery,-277
Morgan,-369
Moultrie,-147
Ogle,-138
Peoria,-1441
Perry,-228
Piatt,-22
Pike,-34
Pope,-7
Pulaski,-99
Putnam,3
Randolph,-395
Richland,-182
Rock Island,-742
St. Clair,-1674
Saline,-298
Sangamon,-967
Schuyler,-102
Scott,24
Shelby,-92
Stark,-76
Stephenson,-299
Tazewell,-647
Union,-179
Vermilion,-944
Wabash,-3
Warren,-148
Washington,-112
Wayne,-111
White,-81
Whiteside,-378
Will,-406
Williamson,-385
Winnebago,-1058
Woodford,-68
Adams,182
Allen,4220
Bartholomew,1057
Benton,95
Blackford,-166
Boone,913
Brown,-138
Carroll,69
Cass,-206
Clark,1022
Clay,50
Clinton,207
Crawford,-17
Daviess,73
Dearborn,-24
Decatur,-166
DeKalb,267
Delaware,-162
Dubois,62
Elkhart,724
Fayette,26
Floyd,688
Fountain,-44
Franklin,52
Fulton,-79
Gibson,49
Grant,-270
Greene,-137
Hamilton,7700
Hancock,1690
Harrison,301
Hendricks,3403
Henry,-159
Howard,287
Huntington,277
Jackson,163
Jasper,197
Jay,-291
Jefferson,151
Jennings,56
Johnson,2074
Knox,-2
Kosciusko,40
LaGrange,239
Lake,1053
LaPorte,-93
Lawrence,-260
Madison,-4
Marion,5882
Marshall,-38
Martin,36
Miami,-130
Monroe,1201
Montgomery,64
Morgan,352
Newton,-2
Noble,201
Ohio,-4
Orange,98
Owen,-63
Parke,-41
