County_Name,life_expectancy
Caddo,74
Calcasieu,75
Caldwell,73
Cameron,81
Catahoula,73
Claiborne,75
Concordia,72
De Soto,76
East Baton Rouge,76
East Carroll,72
East Feliciana,73
Evangeline,73
Franklin,73
Grant,75
Iberia,74
Iberville,75
Jackson,76
Jefferson,77
Jefferson Davis,73
Lafayette,78
Lafourche,77
La Salle,75
Lincoln,77
Livingston,76
Madison,72
Morehouse,71
Natchitoches,74
Orleans,76
Ouachita,74
Plaquemines,78
Pointe Coupee,75
Rapides,74
Red River,72
Richland,74
Sabine,76
St. Bernard,74
St. Charles,77
St. Helena,74
St. James,76
St. John the Baptist,74
St. Landry,72
St. Martin,75
St. Mary,75
St. Tammany,78
Tangipahoa,74
Tensas,75
Terrebonne,75
Union,75
Vermilion,76
Vernon,74
Washington,72
Webster,73
West Baton Rouge,78
West Carroll,74
West Feliciana,77
Winn,74
Androscoggin,77
Aroostook,77
Cumberland,80
Franklin,78
Hancock,79
Kennebec,78
Knox,79
Lincoln,79
Oxford,77
Penobscot,77
Piscataquis,76
Sagadahoc,79
Somerset,76
Waldo,79
Washington,75
York,79
Allegany,76
Anne Arundel,79
Baltimore,78
Calvert,79
Caroline,76
Carroll,78
Cecil,76
Charles,78
Dorchester,75
Frederick,80
Garrett,78
Harford,78
Howard,83
Kent,78
Montgomery,84
Prince George's,79
Queen Anne's,79
St. Mary's,78
Somerset,75
Talbot,81
Washington,77
Wicomico,76
Worcester,78
Baltimore City,72
Barnstable,79
Berkshire,78
Bristol,78
Dukes,81
Essex,80
Franklin,79
Hampden,78
Hampshire,80
Middlesex,82
Nantucket,82
Norfolk,81
Plymouth,79
Suffolk,81
Worcester,79
Alcona,76
Alger,80
Allegan,79
Alpena,77
Antrim,80
Arenac,76
Baraga,75
Barry,79
Bay,77
Benzie,80
Berrien,77
Branch,76
Calhoun,75
Cass,78
Charlevoix,79
Cheboygan,78
Chippewa,78
Clare,75
Clinton,81
Crawford,75
Delta,78
Dickinson,78
Eaton,79
Emmet,79
Genesee,75
Gladwin,76
Gogebic,79
Grand Traverse,80
Gratiot,77
Hillsdale,77
Houghton,78
Huron,76
Ingham,78
Ionia,78
Iosco,75
Iron,76
Isabella,78
Jackson,76
Kalamazoo,78
Kalkaska,76
Kent,79
Keweenaw,78
Lake,77
Lapeer,78
Leelanau,82
Lenawee,78
Livingston,80
Luce,78
Mackinac,77
Macomb,77
Manistee,77
Marquette,78
Mason,78
Mecosta,78
Menominee,79
Midland,80
Missaukee,79
Monroe,77
Montcalm,77
Montmorency,75
Muskegon,77
Newaygo,78
Oakland,80
Oceana,78
Ogemaw,74
Ontonagon,76
Osceola,77
Oscoda,74
Otsego,77
Ottawa,81
Presque Isle,77
Roscommon,75
Saginaw,76
St. Clair,77
St. Joseph,76
Sanilac,77
Schoolcraft,78
Shiawassee,77
Tuscola,77
Van Buren,77
Washtenaw,81
Wayne,75
Wexford,77
Aitkin,77
Anoka,81
Becker,79
Beltrami,77
Benton,79
Big Stone,81
Blue Earth,80
Brown,80
Carlton,78
Carver,83
Cass,77
Chippewa,79
Chisago,80
Clay,80
Clearwater,77
Cook,82
Cottonwood,81
Crow Wing,79
Dakota,82
Dodge,80
Douglas,80
Faribault,78
Fillmore,80
Freeborn,79
Goodhue,80
Grant,79
Hennepin,81
Houston,82
Hubbard,80
Isanti,79
Itasca,79
Jackson,82
Kanabec,79
Kandiyohi,81
Kittson,78
Koochiching,79
Lac qui Parle,82
Lake,78
Lake of the Woods,79
Le Sueur,81
Lincoln,81
Lyon,81
McLeod,81
Mahnomen,70
Marshall,83
Martin,80
Meeker,80
Mille Lacs,76
Morrison,80
Mower,80
Murray,82
Nicollet,82
Nobles,81
Norman,75
Olmsted,82
Otter Tail,80
Pennington,80
Pine,79
Pipestone,78
Polk,78
Pope,81
Ramsey,79
Red Lake,84
Redwood,79
Renville,79
Rice,80
Rock,80
Roseau,80
St. Louis,78
Scott,82
Sherburne,80
Sibley,80
Stearns,82
Steele,81
Stevens,83
Swift,77
Todd,82
Traverse,77
Wabasha,83
Wadena,75
Waseca,81
Washington,82
Watonwan,80
Wilkin,77
Winona,80
Wright,81
Yellow Medicine,80
Adams,73
Alcorn,73
Amite,76
Attala,73
Benton,72
Bolivar,72
Calhoun,76
Carroll,78
Chickasaw,74
Choctaw,74
Claiborne,72
Clarke,73
Clay,76
Coahoma,71
Copiah,74
Covington,72
DeSoto,76
Forrest,73
Franklin,74
George,72
Greene,73
Grenada,70
Hancock,76
Harrison,75
Hinds,75
Holmes,72
Humphreys,74
Issaquena,
Itawamba,74
Jackson,76
Jasper,75
Jefferson,71
Jefferson Davis,72
Jones,74
Kemper,76
Lafayette,78
Lamar,78
Lauderdale,75
Lawrence,72
Leake,75
Lee,74
