County_Name,pct_college
McLean,78
Macon,64
Macoupin,62
Madison,70
Marion,60
Marshall,60
Mason,52
Massac,62
Menard,63
Mercer,65
Monroe,80
Montgomery,54
Morgan,60
Moultrie,63
Ogle,63
Peoria,71
Perry,46
Piatt,72
Pike,53
Pope,54
Pulaski,57
Putnam,59
Randolph,47
Richland,65
Rock Island,64
St. Clair,67
Saline,66
Sangamon,70
Schuyler,64
Scott,52
Shelby,59
Stark,54
Stephenson,66
Tazewell,69
Union,58
Vermilion,50
Wabash,63
Warren,60
Washington,73
Wayne,63
White,65
Whiteside,61
Will,69
Williamson,67
Winnebago,59
Woodford,74
Adams,52
Allen,66
Bartholomew,66
Benton,59
Blackford,54
Boone,79
Brown,64
Carroll,54
Cass,49
Clark,63
Clay,56
Clinton,46
Crawford,41
Daviess,42
Dearborn,58
Decatur,65
DeKalb,57
Delaware,65
Dubois,63
Elkhart,49
Fayette,51
Floyd,68
Fountain,54
Franklin,56
Fulton,59
Gibson,61
Grant,53
Greene,52
Hamilton,86
Hancock,69
Harrison,53
Hendricks,75
Henry,53
Howard,60
Huntington,56
Jackson,51
Jasper,53
Jay,46
Jefferson,50
Jennings,49
Johnson,69
Knox,59
Kosciusko,56
LaGrange,29
Lake,61
LaPorte,51
Lawrence,56
Madison,55
Marion,62
Marshall,50
Martin,59
Miami,46
Monroe,78
Montgomery,56
Morgan,56
Newton,50
Noble,51
Ohio,55
Orange,43
Owen,48
Parke,45
Perry,52
Pike,52
Porter,69
Posey,68
Pulaski,50
Putnam,49
Randolph,54
Ripley,61
Rush,45
St. Joseph,64
Scott,43
Shelby,52
Spencer,58
Starke,46
Steuben,58
Sullivan,50
Switzerland,47
Tippecanoe,73
Tipton,56
Union,44
Vanderburgh,67
Vermillion,56
Vigo,62
Wabash,52
Warren,61
Warrick,74
Washington,48
Wayne,57
Wells,60
White,58
Whitley,61
Adair,61
Adams,69
Allamakee,63
Appanoose,71
Audubon,67
Benton,69
Black Hawk,70
Boone,68
Bremer,79
Buchanan,71
Buena Vista,49
Butler,70
Calhoun,67
Carroll,75
Cass,59
Cedar,71
Cerro Gordo,69
Cherokee,75
Chickasaw,68
Clarke,52
Clay,67
Clayton,60
Clinton,63
Crawford,46
Dallas,85
Davis,60
Decatur,55
Delaware,60
Des Moines,68
Dickinson,78
Dubuque,73
Emmet,71
Fayette,66
Floyd,64
Franklin,53
Fremont,70
Greene,67
Grundy,76
Guthrie,71
Hamilton,70
Hancock,69
Hardin,66
Harrison,71
Henry,61
Howard,68
Humboldt,66
Ida,76
Iowa,73
Jackson,64
Jasper,61
Jefferson,75
Johnson,84
Jones,64
Keokuk,69
Kossuth,69
Lee,59
Linn,75
Louisa,51
Lucas,65
Lyon,71
Madison,74
Mahaska,64
Marion,73
Marshall,51
Mills,64
Mitchell,62
Monona,63
Monroe,59
Montgomery,57
Muscatine,58
O'Brien,62
Osceola,54
Page,60
Palo Alto,74
Plymouth,69
Pocahontas,70
Polk,72
Pottawattamie,65
Poweshiek,69
Ringgold,66
Sac,72
Scott,67
Shelby,74
Sioux,68
Story,86
Tama,60
Taylor,55
Union,61
Van Buren,57
Wapello,61
Warren,77
Washington,60
Wayne,54
Webster,64
Winnebago,64
Winneshiek,79
Woodbury,61
Worth,62
Wright,63
Allen,61
Anderson,61
Atchison,69
Barber,57
Barton,57
Bourbon,61
Brown,62
Butler,71
