County_Name,Net_migration_of_population
Mercer,282
Metcalfe,16
Monroe,-84
Montgomery,-9
Morgan,-9
Muhlenberg,-135
Nelson,287
Nicholas,86
Ohio,-76
Oldham,99
Owen,20
Owsley,-55
Pendleton,-12
Perry,-363
Pike,-391
Powell,-5
Pulaski,432
Robertson,-22
Rockcastle,-48
Rowan,-96
Russell,156
Scott,770
Shelby,801
Simpson,121
Spencer,272
Taylor,234
Todd,-57
Trigg,3
Trimble,15
Union,-81
Warren,1419
Washington,58
Wayne,-106
Webster,-143
Whitley,109
Wolfe,-28
Woodford,196
Acadia,-295
Allen,-12
Ascension,993
Assumption,-395
Avoyelles,-315
Beauregard,12
Bienville,-36
Bossier,-436
Caddo,-2919
Calcasieu,-586
Caldwell,-47
Cameron,-61
Catahoula,-103
Claiborne,-160
Concordia,-343
De Soto,11
East Baton Rouge,-3859
East Carroll,-149
East Feliciana,-113
Evangeline,-157
Franklin,-143
Grant,-92
Iberia,-1215
Iberville,-219
Jackson,-107
Jefferson,-2613
Jefferson Davis,-143
Lafayette,71
Lafourche,-606
La Salle,-10
Lincoln,-471
Livingston,773
Madison,-247
Morehouse,-435
Natchitoches,-528
Orleans,-1600
Ouachita,-1691
Plaquemines,-265
Pointe Coupee,-130
Rapides,-884
Red River,-70
Richland,-104
Sabine,-43
St. Bernard,230
St. Charles,205
St. Helena,-48
St. James,-108
St. John the Baptist,-398
St. Landry,-750
St. Martin,-254
St. Mary,-584
St. Tammany,1999
Tangipahoa,351
Tensas,-128
Terrebonne,-1053
Union,-115
Vermilion,-503
Vernon,-1130
Washington,-357
Webster,-371
West Baton Rouge,-61
West Carroll,-90
West Feliciana,73
Winn,-171
Androscoggin,242
Aroostook,-6
Cumberland,1328
Franklin,390
Hancock,473
Kennebec,540
Knox,202
Lincoln,356
Oxford,458
Penobscot,553
Piscataquis,145
Sagadahoc,257
Somerset,83
Waldo,176
Washington,216
York,2052
Allegany,-290
Anne Arundel,1598
Baltimore,-1484
Calvert,298
Caroline,52
Carroll,141
Cecil,90
Charles,1108
Dorchester,27
Frederick,3605
Garrett,-32
Harford,1232
Howard,1489
Kent,132
