County_Name,pct_vaccinated
Jackson,55
Jasper,60
Jefferson,17
Johnson,63
Jones,34
Keokuk,40
Kossuth,31
Lee,49
Linn,60
Louisa,50
Lucas,39
Lyon,37
Madison,37
Mahaska,57
Marion,58
Marshall,53
Mills,58
Mitchell,28
Monona,16
Monroe,42
Montgomery,59
Muscatine,60
O'Brien,33
Osceola,51
Page,48
Palo Alto,31
Plymouth,54
Pocahontas,37
Polk,60
Pottawattamie,59
Poweshiek,64
Ringgold,36
Sac,38
Scott,56
Shelby,54
Sioux,54
Story,66
Tama,48
Taylor,44
Union,56
Van Buren,27
Wapello,47
Warren,60
Washington,44
Wayne,32
Webster,41
Winnebago,58
Winneshiek,62
Woodbury,49
Worth,55
Wright,27
Allen,38
Anderson,27
Atchison,27
Barber,24
Barton,31
Bourbon,47
Brown,26
Butler,49
Chase,37
Chautauqua,30
Cherokee,40
Cheyenne,36
Clark,29
Clay,38
Cloud,32
Coffey,40
Comanche,47
Cowley,41
Crawford,45
Decatur,41
Dickinson,28
Doniphan,39
Douglas,57
Edwards,15
Elk,38
Ellis,45
Ellsworth,28
Finney,46
Ford,38
Franklin,35
Geary,31
Gove,40
Graham,36
Grant,35
Gray,29
Greeley,5
Greenwood,37
Hamilton,30
Harper,28
Harvey,50
Haskell,53
Hodgeman,36
Jackson,29
Jefferson,53
Jewell,33
Johnson,58
Kearny,20
Kingman,40
Kiowa,30
Labette,36
Lane,28
Leavenworth,46
Lincoln,40
Linn,25
Logan,39
Lyon,51
McPherson,53
Marion,37
Marshall,33
Meade,40
Miami,40
Mitchell,54
Montgomery,38
Morris,47
Morton,38
Nemaha,34
Neosho,43
Ness,33
Norton,39
Osage,55
Osborne,45
Ottawa,39
Pawnee,37
Phillips,39
Pottawatomie,36
Pratt,36
Rawlins,33
Reno,23
Republic,49
Rice,18
Riley,58
Rooks,46
Rush,36
Russell,27
Saline,50
Scott,28
Sedgwick,50
Seward,36
Shawnee,58
Sheridan,36
Sherman,33
Smith,32
Stafford,36
Stanton,31
Stevens,41
Sumner,45
Thomas,27
Trego,26
Wabaunsee,48
Wallace,25
Washington,37
Wichita,44
Wilson,39
Woodson,35
Wyandotte,45
Adair,27
Allen,40
Anderson,45
Ballard,49
Barren,48
Bath,41
Bell,38
Boone,54
Bourbon,51
Boyd,49
Boyle,44
Bracken,34
Breathitt,34
Breckinridge,45
Bullitt,50
Butler,45
Caldwell,50
Calloway,48
Campbell,55
Carlisle,48
Carroll,38
Carter,45
Casey,32
Christian,42
Clark,46
Clay,28
Clinton,32
Crittenden,31
Cumberland,14
Daviess,51
Edmonson,42
Elliott,37
Estill,29
Fayette,54
Fleming,38
Floyd,33
Franklin,44
Fulton,33
Gallatin,38
Garrard,42
Grant,48
Graves,43
Grayson,43
Green,44
Greenup,48
Hancock,45
Hardin,45
Harlan,25
Harrison,52
Hart,38
Henderson,48
Henry,43
Hickman,49
Hopkins,46
Jackson,36
Jefferson,51
Jessamine,53
Johnson,38
Kenton,54
Knott,35
Knox,31
Larue,46
Laurel,39
Lawrence,46
Lee,23
Leslie,28
Letcher,27
Lewis,26
Lincoln,34
Livingston,40
Logan,52
Lyon,49
McCracken,51
McCreary,28
McLean,47
Madison,46
Magoffin,37
Marion,37
Marshall,48
Martin,36
Mason,44
Meade,44
Menifee,32
Mercer,46
Metcalfe,40
Monroe,40
Montgomery,49
Morgan,34
Muhlenberg,32
Nelson,49
Nicholas,47
Ohio,40
Oldham,52
Owen,43
Owsley,30
Pendleton,48
Perry,27
Pike,40
Powell,30
Pulaski,33
Robertson,47
Rockcastle,23
Rowan,46
Russell,32
Scott,50
Shelby,50
Simpson,47
Spencer,46
Taylor,39
Todd,36
Trigg,41
Trimble,38
Union,32
Warren,49
Washington,46
Wayne,25
Webster,43
Whitley,35
Wolfe,37
Woodford,54
Acadia,48
Allen,37
Ascension,46
Assumption,46
Avoyelles,37
Beauregard,42
Bienville,40
Bossier,48
Caddo,44
Calcasieu,45
Caldwell,29
Cameron,34
Catahoula,33
