County_Name,pct_obesity
Letcher,38
Lewis,43
Lincoln,38
Livingston,32
Logan,38
Lyon,26
McCracken,30
McCreary,39
McLean,37
Madison,35
Magoffin,36
Marion,36
Marshall,38
Martin,40
Mason,34
Meade,36
Menifee,32
Mercer,27
Metcalfe,33
Monroe,36
Montgomery,32
Morgan,37
Muhlenberg,35
Nelson,35
Nicholas,33
Ohio,35
Oldham,21
Owen,35
Owsley,46
Pendleton,33
Perry,41
Pike,38
Powell,32
Pulaski,36
Robertson,26
Rockcastle,33
Rowan,38
Russell,32
Scott,34
Shelby,30
Simpson,38
Spencer,36
Taylor,35
Todd,35
Trigg,32
Trimble,36
Union,31
Warren,29
Washington,34
Wayne,40
Webster,35
Whitley,33
Wolfe,36
Woodford,32
Acadia,38
Allen,37
Ascension,33
Assumption,42
Avoyelles,44
Beauregard,36
Bienville,45
Bossier,30
Caddo,39
Calcasieu,35
Caldwell,39
Cameron,35
Catahoula,37
Claiborne,37
Concordia,34
De Soto,38
East Baton Rouge,31
East Carroll,40
East Feliciana,34
Evangeline,39
Franklin,38
Grant,47
Iberia,41
Iberville,38
Jackson,34
Jefferson,33
Jefferson Davis,40
Lafayette,31
Lafourche,39
La Salle,34
Lincoln,35
Livingston,36
Madison,41
Morehouse,43
Natchitoches,36
Orleans,29
Ouachita,40
Plaquemines,37
Pointe Coupee,31
Rapides,39
Red River,31
Richland,35
Sabine,45
St. Bernard,42
St. Charles,37
St. Helena,32
St. James,38
St. John the Baptist,43
St. Landry,33
St. Martin,36
St. Mary,38
St. Tammany,30
Tangipahoa,38
Tensas,30
Terrebonne,41
Union,38
Vermilion,38
Vernon,35
Washington,42
Webster,32
West Baton Rouge,37
West Carroll,46
West Feliciana,21
Winn,37
Androscoggin,33
Aroostook,35
Cumberland,23
Franklin,34
Hancock,24
Kennebec,33
Knox,27
Lincoln,24
Oxford,33
Penobscot,33
Piscataquis,36
Sagadahoc,25
Somerset,33
Waldo,30
Washington,32
York,30
Allegany,36
Anne Arundel,29
Baltimore,30
Calvert,32
Caroline,40
Carroll,33
Cecil,32
Charles,36
Dorchester,39
Frederick,29
Garrett,37
Harford,32
Howard,25
Kent,29
Montgomery,21
Prince George's,37
Queen Anne's,29
St. Mary's,36
Somerset,44
Talbot,28
Washington,36
Wicomico,36
Worcester,34
Baltimore City,34
Barnstable,21
Berkshire,25
Bristol,29
Dukes,26
Essex,24
Franklin,28
Hampden,31
Hampshire,20
Middlesex,22
Nantucket,24
Norfolk,23
Plymouth,28
Suffolk,21
Worcester,27
Alcona,34
Alger,25
Allegan,33
Alpena,33
Antrim,31
Arenac,35
Baraga,35
Barry,37
Bay,35
Benzie,36
Berrien,32
Branch,38
Calhoun,33
Cass,39
Charlevoix,34
Cheboygan,30
Chippewa,40
Clare,37
Clinton,34
Crawford,32
Delta,35
Dickinson,24
Eaton,37
Emmet,27
Genesee,34
Gladwin,42
Gogebic,31
Grand Traverse,30
Gratiot,37
Hillsdale,38
Houghton,31
Huron,34
Ingham,31
Ionia,34
Iosco,30
Iron,27
Isabella,33
Jackson,36
Kalamazoo,31
Kalkaska,34
Kent,29
Keweenaw,28
Lake,27
Lapeer,33
Leelanau,27
Lenawee,39
Livingston,27
Luce,30
Mackinac,34
Macomb,32
Manistee,30
Marquette,35
Mason,28
Mecosta,34
Menominee,30
Midland,38
Missaukee,37
Monroe,37
Montcalm,35
Montmorency,35
Muskegon,35
Newaygo,34
Oakland,24
Oceana,30
Ogemaw,38
Ontonagon,30
Osceola,40
Oscoda,38
Otsego,27
Ottawa,27
Presque Isle,33
Roscommon,34
Saginaw,37
St. Clair,33
St. Joseph,33
Sanilac,32
Schoolcraft,28
Shiawassee,38
Tuscola,30
Van Buren,33
Washtenaw,24
Wayne,34
Wexford,36
Aitkin,29
Anoka,30
Becker,30
Beltrami,33
Benton,30
Big Stone,34
Blue Earth,33
Brown,32
Carlton,30
Carver,23
Cass,30
Chippewa,33
Chisago,29
Clay,28
Clearwater,30
Cook,21
Cottonwood,35
Crow Wing,29
Dakota,28
Dodge,36
Douglas,32
Faribault,32
Fillmore,28
Freeborn,35
Goodhue,32
Grant,33
Hennepin,22
Houston,28
Hubbard,34
Isanti,34
Itasca,33
Jackson,28
Kanabec,33
Kandiyohi,27
Kittson,30
Koochiching,28
Lac qui Parle,35
Lake,27
Lake of the Woods,29
Le Sueur,34
Lincoln,28
Lyon,31
McLeod,34
Mahnomen,38
Marshall,38
Martin,32
Meeker,32
Mille Lacs,30
Morrison,32
Mower,31
Murray,32
Nicollet,27
Nobles,33
Norman,36
Olmsted,27
Otter Tail,31
Pennington,26
Pine,35
Pipestone,31
Polk,39
Pope,30
Ramsey,26
Red Lake,36
Redwood,34
Renville,34
Rice,26
Rock,24
Roseau,34
St. Louis,28
Scott,29
Sherburne,30
Sibley,39
Stearns,28
Steele,31
Stevens,31
Swift,37
Todd,37
Traverse,32
Wabasha,36
Wadena,34
