County_Name,median_household_income
Lewis and Clark,63860
Liberty,42742
Lincoln,40602
McCone,43650
Madison,53031
Meagher,44572
Mineral,43458
Missoula,56207
Musselshell,43371
Park,61044
Petroleum,41009
Phillips,44730
Pondera,42890
Powder River,47378
Powell,48966
Prairie,42754
Ravalli,50055
Richland,67242
Roosevelt,40179
Rosebud,57674
Sanders,39861
Sheridan,51690
Silver Bow,47302
Stillwater,66226
Sweet Grass,52747
Teton,48368
Toole,46326
Treasure,50774
Valley,48390
Wheatland,38449
Wibaux,49532
Yellowstone,59975
Adams,55167
Antelope,55371
Arthur,46862
Banner,53865
Blaine,44467
Boone,51911
Box Butte,57952
Boyd,42431
Brown,46191
Buffalo,59193
Burt,57548
Butler,57208
Cass,75177
Cedar,64570
Chase,54866
Cherry,49782
Cheyenne,53132
Clay,56259
Colfax,55787
Cuming,59219
Custer,49995
Dakota,55522
Dawes,47487
Dawson,56818
Deuel,47097
Dixon,54635
Dodge,51682
Douglas,64580
Dundy,48574
Fillmore,56697
Franklin,48778
Frontier,43650
Furnas,49685
Gage,49931
Garden,39192
Garfield,46245
Gosper,59722
Grant,56724
Greeley,45221
Hall,53792
Hamilton,60608
Harlan,49321
Hayes,47047
Hitchcock,43880
Holt,55965
Hooker,46220
Howard,52292
Jefferson,47075
Johnson,52401
Kearney,64456
Keith,52086
Keya Paha,48429
Kimball,46986
Knox,47906
Lancaster,58618
Lincoln,56803
Logan,55531
Loup,47797
McPherson,53207
Madison,55226
Merrick,56493
