County_Name,homicide_rate
Hamilton,1
Hancock,2
Harrison,
Hendricks,1
Henry,3
Howard,4
Huntington,
Jackson,
Jasper,
Jay,
Jefferson,
Jennings,
Johnson,2
Knox,3
Kosciusko,1
LaGrange,
Lake,15
LaPorte,4
Lawrence,
Madison,4
Marion,15
Marshall,
Martin,
Miami,
Monroe,2
Montgomery,
Morgan,2
Newton,
Noble,
Ohio,
Orange,
Owen,
Parke,
Perry,
Pike,
Porter,2
Posey,
Pulaski,
Putnam,
Randolph,
Ripley,
Rush,
St. Joseph,7
Scott,
Shelby,
Spencer,
Starke,
Steuben,
Sullivan,
Switzerland,
Tippecanoe,2
Tipton,
Union,
Vanderburgh,5
Vermillion,
Vigo,5
Wabash,
Warren,
Warrick,2
Washington,5
Wayne,5
Wells,
White,
Whitley,
Adair,
Adams,
Allamakee,
Appanoose,
Audubon,
Benton,
Black Hawk,4
Boone,
Bremer,
Buchanan,
Buena Vista,
Butler,
Calhoun,
Carroll,
Cass,
Cedar,
Cerro Gordo,3
Cherokee,
Chickasaw,
Clarke,
Clay,
Clayton,
Clinton,
Crawford,
Dallas,
Davis,
Decatur,
Delaware,
Des Moines,5
Dickinson,
Dubuque,1
Emmet,
Fayette,
Floyd,
Franklin,
Fremont,
Greene,
Grundy,
Guthrie,
Hamilton,
Hancock,
Hardin,
Harrison,
Henry,
Howard,
Humboldt,
Ida,
Iowa,
Jackson,
Jasper,
Jefferson,
Johnson,1
Jones,
Keokuk,
Kossuth,
Lee,
Linn,2
Louisa,
Lucas,
Lyon,
Madison,
Mahaska,
Marion,
Marshall,
Mills,
Mitchell,
Monona,
Monroe,
Montgomery,
Muscatine,
O'Brien,
Osceola,
Page,
Palo Alto,
Plymouth,
Pocahontas,
Polk,3
Pottawattamie,4
Poweshiek,
Ringgold,
Sac,
Scott,3
Shelby,
Sioux,
Story,1
Tama,
Taylor,
Union,
Van Buren,
Wapello,4
Warren,
Washington,
Wayne,
Webster,3
Winnebago,
Winneshiek,
Woodbury,2
Worth,
Wright,
Allen,
Anderson,
Atchison,
Barber,
Barton,
Bourbon,
Brown,
Butler,
Chase,
Chautauqua,
Cherokee,
Cheyenne,
Clark,
Clay,
Cloud,
Coffey,
Comanche,
Cowley,
Crawford,
Decatur,
Dickinson,
Doniphan,
Douglas,2
Edwards,
Elk,
Ellis,
Ellsworth,
Finney,
Ford,4
Franklin,
Geary,4
Gove,
Graham,
Grant,
Gray,
Greeley,
Greenwood,
Hamilton,
Harper,
Harvey,4
Haskell,
Hodgeman,
Jackson,
Jefferson,
Jewell,
Johnson,2
Kearny,
Kingman,
Kiowa,
Labette,
Lane,
Leavenworth,3
Lincoln,
Linn,
Logan,
Lyon,
McPherson,
Marion,
Marshall,
Meade,
Miami,
Mitchell,
Montgomery,5
Morris,
Morton,
Nemaha,
Neosho,
Ness,
Norton,
Osage,
Osborne,
Ottawa,
Pawnee,
Phillips,
Pottawatomie,
Pratt,
Rawlins,
Reno,2
Republic,
Rice,
Riley,2
Rooks,
Rush,
Russell,
Saline,4
Scott,
Sedgwick,6
Seward,
Shawnee,9
Sheridan,
Sherman,
Smith,
Stafford,
Stanton,
Stevens,
Sumner,
Thomas,
Trego,
Wabaunsee,
Wallace,
Washington,
Wichita,
Wilson,
Woodson,
Wyandotte,18
Adair,
Allen,7
Anderson,
Ballard,
Barren,
Bath,
Bell,
Boone,1
Bourbon,
Boyd,3
Boyle,
Bracken,
Breathitt,
Breckinridge,
Bullitt,3
Butler,
Caldwell,
Calloway,4
Campbell,1
Carlisle,
Carroll,
Carter,
Casey,
Christian,8
Clark,4
Clay,12
Clinton,
Crittenden,
Cumberland,
Daviess,1
Edmonson,
Elliott,
Estill,
Fayette,6
Fleming,
Floyd,6
Franklin,5
Fulton,
Gallatin,
Garrard,
Grant,
Graves,8
Grayson,
Green,
Greenup,
Hancock,
Hardin,5
Harlan,
Harrison,
Hart,
Henderson,3
Henry,
Hickman,
Hopkins,
Jackson,
Jefferson,11
Jessamine,3
Johnson,6
Kenton,3
Knott,
Knox,8
Larue,
Laurel,6
Lawrence,
Lee,
Leslie,
Letcher,6
Lewis,
Lincoln,7
Livingston,
Logan,
Lyon,
McCracken,4
McCreary,
McLean,
Madison,4
Magoffin,
Marion,
Marshall,
Martin,
Mason,
Meade,5
Menifee,
Mercer,
Metcalfe,
Monroe,
Montgomery,
Morgan,
Muhlenberg,
Nelson,4
Nicholas,
Ohio,
Oldham,
Owen,
Owsley,
Pendleton,
Perry,9
Pike,4
Powell,11
Pulaski,4
Robertson,
Rockcastle,
Rowan,
Russell,
Scott,
Shelby,3
Simpson,
Spencer,
Taylor,6
Todd,
Trigg,
Trimble,
Union,
Warren,4
Washington,
Wayne,
Webster,
Whitley,7
Wolfe,
Woodford,
Acadia,10
Allen,5
Ascension,6
Assumption,
Avoyelles,6
Beauregard,6
Bienville,
Bossier,5
Caddo,15
Calcasieu,6
Caldwell,
Cameron,
Catahoula,
Claiborne,
Concordia,14
De Soto,6
East Baton Rouge,19
East Carroll,
East Feliciana,15
Evangeline,6
Franklin,
Grant,
Iberia,9
Iberville,9
Jackson,
Jefferson,12
Jefferson Davis,12
Lafayette,7
Lafourche,6
La Salle,
Lincoln,5
Livingston,6
Madison,19
Morehouse,15
Natchitoches,12
Orleans,36
Ouachita,11
Plaquemines,
Pointe Coupee,9
Rapides,12
Red River,
Richland,
Sabine,6
St. Bernard,9
St. Charles,7
St. Helena,13
St. James,11
St. John the Baptist,25
St. Landry,10
St. Martin,13
St. Mary,9
St. Tammany,4
Tangipahoa,10
Tensas,
Terrebonne,8
Union,
Vermilion,6
Vernon,7
Washington,7
Webster,4
West Baton Rouge,8
West Carroll,
West Feliciana,
Winn,
Androscoggin,1
Aroostook,2
Cumberland,0
