County_Name,ratio_primary_care_provider
Floyd,2290
Fountain,8227
Franklin,4032
Fulton,4876
Gibson,4390
Grant,3246
Greene,6484
Hamilton,2032
Hancock,3199
Harrison,4907
Hendricks,3321
Henry,3674
Howard,2813
Huntington,3024
Jackson,2637
Jasper,5571
Jay,4403
Jefferson,2822
Jennings,4135
Johnson,2328
Knox,1857
Kosciusko,4765
LaGrange,6115
Lake,3072
LaPorte,4115
Lawrence,3921
Madison,3270
Marion,1910
Marshall,3770
Martin,7662
Miami,6815
Monroe,2789
Montgomery,4311
Morgan,4127
Newton,17633
Noble,7306
Ohio,8750
Orange,3715
Owen,12023
Parke,7607
Perry,4296
Pike,14433
Porter,3283
Posey,15614
Pulaski,3892
Putnam,4789
Randolph,6446
Ripley,29234
Rush,3885
St. Joseph,2186
Scott,4224
Shelby,4483
Spencer,5453
Starke,9166
Steuben,7458
Sullivan,4144
Switzerland,3572
Tippecanoe,2729
Tipton,8069
Union,9546
Vanderburgh,1825
Vermillion,3775
Vigo,1936
Wabash,5090
Warren,1180
Warrick,1494
Washington,6515
Wayne,2353
Wells,4689
White,5704
Whitley,5563
Adair,3528
Adams,4901
Allamakee,2993
Appanoose,3610
Audubon,2007
Benton,7632
Black Hawk,1805
Boone,4964
Bremer,2696
Buchanan,5654
Buena Vista,5073
Butler,8918
Calhoun,2138
Carroll,1985
Cass,2802
Cedar,6037
Cerro Gordo,1244
Cherokee,2325
Chickasaw,3709
Clarke,4471
Clay,1916
Clayton,4696
Clinton,3327
Crawford,6715
Dallas,6102
Davis,4496
Decatur,4961
Delaware,2719
Des Moines,2490
Dickinson,4182
Dubuque,2219
Emmet,6199
Fayette,3811
Floyd,4375
Franklin,4513
Fremont,7947
Greene,11226
Grundy,6162
Guthrie,3859
Hamilton,3810
Hancock,5120
Hardin,3818
Harrison,4240
Henry,3554
Howard,2867
Humboldt,6146
Ida,4193
Iowa,3078
Jackson,6653
Jasper,4012
Jefferson,3358
Johnson,909
Jones,3878
Keokuk,12198
Kossuth,4005
Lee,2976
Linn,2790
Louisa,13976
Lucas,2503
Lyon,4917
Madison,4100
Mahaska,2710
Marion,1989
Marshall,2943
Mills,3348
Mitchell,5054
Monona,1972
Monroe,3909
Montgomery,2459
Muscatine,3217
O'Brien,2398
Osceola,4533
Page,2539
Palo Alto,4519
Plymouth,4384
Pocahontas,5670
Polk,1783
Pottawattamie,3313
Poweshiek,2324
Ringgold,2495
Sac,3024
Scott,2225
Shelby,3592
Sioux,2763
Story,3261
Tama,6143
Taylor,8242
Union,2369
